elapsed,result,converted_x,converted_y
0:00:00,,,
0:00:00,,,
0:00:16,,,
0:00:35,,,
0:00:57,-1,28.2,7.8
0:00:57,,,
0:01:02,-1,28.8,63.1
0:01:04,,,
0:01:17,-1,43.3,24.3
0:01:18,,,
0:01:31,1,25,88.9
0:01:56,-1,25.6,5.7
0:01:58,,,
0:02:11,,,
0:02:25,1,5.6,20.9
0:02:37,1,25,86.9
0:02:57,-1,41.5,23.5
0:02:59,,,
0:03:07,-1,5.5,21
0:03:08,,,
0:03:14,,,
0:03:34,1,21.2,12
0:03:43,-1,25.4,87.4
0:03:44,,,
0:03:50,-1,25,5.1
0:03:51,,,
0:03:53,,,
0:03:53,1,,
0:03:53,1,,
0:04:15,,,
0:04:15,1,,
0:04:15,1,,
0:04:30,1,20.5,64.3
0:04:44,1,39.7,25.8
0:04:55,-1,34.4,65.3
0:04:56,,,
0:05:07,-1,43.4,87.9
0:05:07,,,
0:05:21,1,25.7,6.3
0:05:33,-1,25.6,88.2
0:05:34,,,
0:05:42,1,25.2,88.3
0:06:09,-1,1.7,4
0:06:10,,,
0:06:15,-1,23.9,5.9
0:06:17,,,
0:06:17,,,
0:06:17,,,
0:06:24,,,
0:06:26,,,
0:06:26,,,
0:06:35,1,34.1,65.6
0:06:56,-1,24.4,6.6
0:07:01,,,
0:07:01,-1,23.8,6.8
0:07:02,,,
0:07:05,,,
0:07:05,1,,
0:07:05,,,
0:07:05,1,,
0:07:19,-1,18.9,29.2
0:07:20,,,
0:07:26,-1,21.6,88.7
0:07:28,,,
0:07:39,-1,20.4,7.1
0:07:41,,,
0:07:50,-1,24.9,80.5
0:07:51,,,
0:07:58,1,20.8,11.1
0:07:58,,,
0:07:58,,,
0:07:58,,,
0:07:58,1,,
0:08:17,-1,44.2,74.4
0:08:18,,,
0:08:20,,,
0:08:33,-1,47.7,6.8
0:08:35,,,
0:08:46,1,25.4,88.3
0:08:46,,,
0:08:46,,,
0:08:46,,,
0:08:46,1,,
0:08:55,,,
0:09:01,1,20.8,76.1
0:09:19,-1,36.9,26.3
0:09:20,,,
0:09:27,,,
0:09:38,-1,11.2,17.4
0:09:38,,,
0:09:45,1,4.6,67.7
0:10:04,1,26.2,5.7
0:10:26,1,25,86.9
0:10:26,,,
0:10:26,,,
0:10:26,,,
0:10:26,-1,,
0:10:27,,,
0:10:36,-1,37.2,27.3
0:10:37,,,
0:10:47,,,
0:11:01,-1,29.5,28.7
0:11:02,,,
0:11:07,-1,25.2,87.4
0:11:07,,,
0:11:12,1,25,5.1
0:11:29,1,38.8,83.8
0:11:48,-1,41.5,7.6
0:11:48,,,
0:11:50,,,
0:11:50,,,
0:12:00,,,
0:12:00,,,
0:00:00,,,
0:00:15,-1,26.2,87.4
0:00:15,,,
0:00:37,,,
0:00:37,1,,
0:00:37,1,,
0:00:37,1,,
0:00:47,-1,10.8,81
0:00:48,,,
0:01:08,-1,29,8.8
0:01:09,,,
0:01:24,1,11.5,66.1
0:01:41,1,29.8,8.8
0:02:03,-1,27.2,71.6
0:02:04,,,
0:02:12,1,23.8,12.2
0:02:21,,,
0:02:21,,,
0:02:21,,,
0:02:21,,,
0:02:21,,,
0:02:29,,,
0:02:34,,,
0:02:40,-1,23.8,85.2
0:02:41,,,
0:02:48,1,30.8,10.6
0:02:48,,,
0:02:48,1,,
0:03:02,-1,36.9,67.6
0:03:02,,,
0:03:05,,,
0:03:10,,,
0:03:10,,,
0:03:21,-1,8.1,23.5
0:03:23,,,
0:03:28,,,
0:03:32,,,
0:03:32,1,,
0:03:32,,,
0:03:32,1,,
0:03:53,1,18.2,82.5
0:04:01,-1,7.3,23.3
0:04:02,,,
0:04:14,-1,25.4,86.9
0:04:15,,,
0:04:24,,,
0:04:24,,,
0:04:38,-1,38.2,86.7
0:04:38,,,
0:04:55,1,25.9,7.6
0:05:13,,,
0:05:13,-1,,
0:05:13,,,
0:05:13,,,
0:05:13,,,
0:05:13,,,
0:05:13,-1,,
0:05:14,,,
0:05:29,-1,37.2,6.3
0:05:30,,,
0:05:42,1,25.1,87.2
0:05:57,1,24.1,6.6
0:06:18,1,14,78.4
0:06:32,,,
0:06:32,,,
0:06:32,,,
0:06:32,,,
0:06:32,1,,
0:06:42,,,
0:06:42,-1,,
0:06:42,,,
0:06:42,1,,
0:06:55,,,
0:06:55,,,
0:07:10,-1,18.2,83.9
0:07:10,,,
0:07:27,1,27.9,7.6
0:07:39,-1,27.8,82
0:07:40,,,
0:07:57,-1,2.5,5.2
0:07:57,,,
0:08:07,-1,1.4,5.3
0:08:07,,,
0:08:10,-1,24,6.1
0:08:10,,,
0:08:10,,,
0:08:10,,,
0:08:25,-1,18.2,7.1
0:08:26,,,
0:08:30,-1,25,5.1
0:08:31,,,
0:08:40,,,
0:08:55,-1,45.2,6.1
0:08:56,,,
0:09:06,,,
0:09:22,,,
0:09:22,-1,,
0:09:22,,,
0:09:22,1,,
0:09:35,-1,47.7,88.3
0:09:35,,,
0:09:35,,,
0:09:35,,,
0:09:45,1,23.9,87.9
0:10:10,-1,41.3,25.8
0:10:10,,,
0:10:18,,,
0:10:18,1,,
0:10:18,1,,
0:10:32,-1,25.7,6.6
0:10:32,,,
0:10:47,,,
0:10:47,1,,
0:10:47,1,,
0:11:05,,,
0:11:05,,,
0:11:05,,,
0:11:06,1,26.9,6.1
0:11:19,-1,26,77.4
0:11:19,,,
0:11:19,1,24.8,87.4
0:11:29,-1,21.5,14.2
0:11:29,,,
0:11:49,-1,8.4,68.5
0:11:49,,,
0:11:57,-1,48.3,5.2
0:11:58,,,
0:11:59,-1,25,17.8
0:12:00,,,
0:12:00,,,
0:00:00,,,
0:00:12,,,
0:00:29,1,37.9,19.9
0:00:40,,,
0:00:40,1,,
0:00:40,1,,
0:00:56,-1,13.3,26.8
0:00:57,,,
0:01:06,-1,13.1,86.4
0:01:07,,,
0:01:20,-1,24.6,7.3
0:01:20,,,
0:01:27,1,5.8,73.1
0:01:53,1,24.9,7.1
0:02:12,-1,38,88.8
0:02:14,,,
0:02:15,1,32.6,86.2
0:02:35,,,
0:02:42,1,25,88.9
0:03:04,-1,26.9,6.6
0:03:04,,,
0:03:04,,,
0:03:07,-1,36.5,29.7
0:03:08,,,
0:03:33,1,26.2,30.9
0:04:01,-1,24.9,86.4
0:04:02,,,
0:04:05,,,
0:04:23,-1,7.4,23.3
0:04:24,,,
0:04:28,-1,40.5,6.6
0:04:30,,,
0:04:44,-1,6.7,71.2
0:04:45,,,
0:04:53,1,23.8,86.9
0:04:53,,,
0:04:53,,,
0:04:53,1,,
0:05:06,1,24,6.1
0:05:23,-1,25,83.3
0:05:24,,,
0:05:33,-1,23,7.1
0:05:34,,,
0:05:37,1,10.9,26.3
0:05:45,-1,31.9,70.7
0:05:46,,,
0:05:53,-1,13,26.8
0:05:54,,,
0:06:01,-1,16.1,65.1
0:06:02,,,
0:06:11,-1,45.5,22.4
0:06:12,,,
0:06:19,,,
0:06:29,,,
0:06:29,,,
0:06:29,,,
0:06:29,,,
0:06:40,,,
0:06:53,1,26.7,86.2
0:07:23,-1,31.1,7.6
0:07:24,,,
0:07:24,1,23,5.8
0:07:33,-1,36.2,74.1
0:07:34,,,
0:07:49,-1,26.4,10.2
0:07:50,,,
0:07:57,-1,23.3,86.4
0:07:57,,,
0:08:08,-1,25.4,10.6
0:08:09,,,
0:08:24,1,23.8,86.4
0:08:44,-1,20.2,21.9
0:08:44,,,
0:08:55,-1,15.8,64.3
0:08:56,,,
0:09:13,-1,22.5,6.6
0:09:13,,,
0:09:13,,,
0:09:13,,,
0:09:13,,,
0:09:13,,,
0:09:29,,,
0:09:29,-1,,
0:09:29,,,
0:09:29,1,,
0:09:51,,,
0:09:51,1,,
0:09:51,-1,,
0:09:51,,,
0:10:10,1,25.4,87.7
0:10:26,-1,25.6,6.3
0:10:26,,,
0:10:31,-1,7.6,22.4
0:10:32,,,
0:10:43,,,
0:10:55,-1,22.5,7.6
0:10:55,,,
0:10:55,,,
0:11:06,,,
0:11:18,-1,39.8,77
0:11:19,,,
0:11:41,-1,14.8,9.1
0:11:42,,,
0:11:43,1,24.1,6.1
0:11:59,-1,24.3,80
0:12:00,,,
0:12:00,,,
0:00:00,,,
0:00:22,1,31.3,12.5
0:00:39,1,13,85.7
0:00:56,,,
0:00:56,,,
0:00:56,1,,
0:00:56,1,,
0:01:10,1,24.1,78
0:01:36,,,
0:01:41,-1,23.1,88.3
0:01:42,,,
0:01:49,-1,25.6,6.1
0:01:49,,,
0:01:54,,,
0:01:54,,,
0:01:54,,,
0:01:54,,,
0:02:07,-1,26.4,81.8
0:02:09,,,
0:02:16,-1,23.8,7.8
0:02:17,,,
0:02:22,-1,32.9,28.7
0:02:22,,,
0:02:29,-1,43.7,72.1
0:02:32,,,
0:02:40,-1,24.4,6.8
0:02:40,,,
0:02:40,,,
0:02:51,,,
0:02:51,,,
0:03:15,1,26.4,15.1
0:03:23,,,
0:03:23,,,
0:03:38,-1,25.1,84.3
0:03:39,,,
0:03:39,,,
0:03:39,,,
0:03:41,,,
0:03:57,-1,24.3,82.3
0:03:57,,,
0:04:03,-1,14,27.8
0:04:03,,,
0:04:08,1,18.4,77.5
0:04:30,-1,22.6,15
0:04:32,,,
0:04:43,1,22.3,5.7
0:04:53,,,
0:04:53,1,,
0:04:53,,,
0:04:53,,,
0:04:53,,,
0:04:53,,,
0:04:53,-1,,
0:04:54,,,
0:05:14,-1,25.8,4.4
0:05:14,,,
0:05:20,,,
0:05:22,1,26,86.7
0:05:44,,,
0:05:50,,,
0:05:50,1,,
0:05:50,1,,
0:06:04,1,36.4,7.6
0:06:21,-1,40,69
0:06:22,,,
0:06:33,-1,23.1,7.3
0:06:35,,,
0:06:41,1,25,88.9
0:07:05,1,26.9,7.1
0:07:20,-1,22.3,86.9
0:07:21,,,
0:07:21,-1,24.3,87.9
0:07:23,,,
0:07:26,-1,26.6,7.3
0:07:26,,,
0:07:26,,,
0:07:39,1,32.1,74.1
0:07:52,,,
0:08:03,-1,24.8,6.1
0:08:05,,,
0:08:05,-1,24.6,6.6
0:08:06,,,
0:08:12,1,25.1,87.9
0:08:34,1,25,5.1
0:08:51,-1,23.9,86.9
0:08:52,,,
0:08:57,-1,24.3,86.4
0:08:57,,,
0:09:05,1,25,5.1
0:09:24,,,
0:09:24,,,
0:09:24,,,
0:09:24,,,
0:09:45,-1,25.9,6.1
0:09:46,,,
0:09:46,1,24.9,6.8
0:10:09,-1,24.9,87.2
0:10:10,,,
0:10:27,,,
0:10:27,-1,,
0:10:27,,,
0:10:27,-1,,
0:10:28,,,
0:10:41,1,25.4,87.9
0:10:52,1,44.9,22
0:11:03,1,25.1,86.9
0:11:03,,,
0:11:11,-1,25.2,8.1
0:11:13,,,
0:11:32,-1,42.1,69
0:11:33,,,
0:11:40,,,
0:11:40,1,,
0:11:40,,,
0:11:40,,,
0:11:40,-1,,
0:11:40,,,
0:11:40,,,
0:11:40,-1,,
0:11:40,,,
0:11:40,,,
0:11:40,-1,,
0:11:41,,,
0:11:41,,,
0:11:48,-1,44.6,25.3
0:11:48,,,
0:11:48,,,
0:11:48,1,,
0:11:48,1,,
0:11:52,,,
0:11:52,-1,,
0:11:52,,,
0:11:52,1,,
0:11:52,1,,
0:11:52,,,
0:11:52,1,,
0:11:52,1,,
0:11:52,,,
0:11:56,-1,47.2,17.4
0:11:56,,,
0:12:00,,,
